Path ID,ADV [Corrected]
104-129,7.97
166-142,34.21
107-115,19.78
130-41,5.23
129-130,11.43
11-191,23.13
85-81,335.07
86-103,153.78
81-17,443.22
191-193,88.73
176-20,239.33
85-40,81.65
68-18,49.96
192-103,17.65
75-116,7.48
176-193,745.83
40-3071,13.86
43-129,2.81
131-193,6.55
16-47,3.2
18-100,69.25
35-3024,4
194-129,18.76
131-24,9.96
107-3102,12.01
76-135,7.86
139-18,5.8
60-26,168.27
76-18,18.88
31-18,215.4
107-28,7.35
190-103,25.55
146-70,54.88
152-185,88.47
181-3024,211.43
127-31,239.1
135-149,14.18
115-135,10.66
44-3024,3.88
145-3081,5.13
70-40,49.35
34-81,13.63
117-135,30.31
31-69,66.78
20-130,10.55
24-27,17.77
64-158,4.47
179-75,11.67
129-41,16.48
54-64,26.16
171-3114,6.08
110-75,18.57
66-130,18.02
171-68,85.75
76-68,39.89
21-88,30.55
146-86,38.7
68-104,22.93
130-111,5.3
181-190,874.84
81-106,334.67
127-127,425.61
70-166,121.77
64-129,34.9
75-181,45.56
110-179,9.76
129-21,55.97
179-40,4.23
70-16,157.61
146-35,7.32
74-17,21.59
103-163,2.57
76-34,6.82
37-185,31.21
142-166,50.48
20-136,13.31
149-100,19.38
181-43,300.48
81-111,45.55
54-54,54.7
117-60,13.62
41-122,22.79
152-179,32.61
139-3081,1.64
18-3071,14.87
176-54,235.46
127-177,196.84
139-26,3.03
60-166,1.91
156-177,51.19
66-116,9.8
107-3081,7.1
41-192,8.67
74-3112,36.69
41-136,2.44
116-41,4.33
40-85,48.94
131-158,3.32
107-150,8.57
193-127,4.9
130-181,28.4
106-31,14.99
31-20,203.36
26-18,42.46
24-44,51.16
171-114,57.9
29-171,26.13
135-127,36.71
185-47,90.26
192-29,37.75
142-3117,25.23
27-194,0.6
18-85,40.5
166-54,9.03
194-25,5.55
40-114,6.71
76-20,19.92
110-190,15.07
41-3114,1.11
100-85,229.63
74-129,11.44
181-158,230.1
100-185,159.48
135-117,26.66
100-181,30
103-3024,16.51
18-21,70.72
116-21,17.86
171-64,207.93
100-44,4.01
64-17,215.5
34-114,3.42
139-171,7.07
20-29,46.06
181-44,209.8
75-88,143.1
81-68,171.37
17-66,48.25
150-110,9.24
64-3065,33.75
136-142,27.85
104-176,58.49
150-114,17.6
69-21,30.02
29-26,40.79
16-44,16.58
135-171,11.14
179-104,10.4
117-3117,55.14
34-146,3.58
131-75,13.05
18-131,6.18
117-3024,20.64
150-24,52.6
70-3071,428.63
135-130,36.2
81-25,14.27
145-3024,2.67
135-176,23.84
146-47,1.88
107-156,5.7
191-3112,45.58
129-37,4.35
37-68,7.21
70-122,570.1
106-44,3.33
31-117,63.63
44-69,3.5
166-18,8.94
68-16,120.48
26-31,75.92
110-115,42.2
166-3117,5.02
17-37,26.08
111-24,15.33
192-181,47.54
179-130,10.27
179-3071,16.54
127-25,1.9
17-27,4.1
114-166,9.24
18-3024,19.11
18-156,24.83
24-192,20.66
70-35,38.94
171-181,272.41
81-150,530.26
47-47,1.3
150-27,1.44
81-117,211.57
34-179,2.55
190-70,28.55
34-150,8.5
35-3112,2.35
192-44,2.03
142-3112,31.83
35-44,7.46
190-127,16.38
76-150,40.61
116-3112,47.13
176-44,188.11
37-139,1.89
158-192,1.06
108-127,33.71
44-150,3.71
66-31,67.3
104-165,9
191-35,30.95
108-115,54.3
149-130,19.02
142-44,34.93
146-41,6.54
66-66,55.36
24-125,24.66
24-3071,27.99
21-68,30.49
75-34,4.7
158-145,0.57
135-47,3.23
103-165,4.93
75-24,21.3
117-146,15.81
190-163,7.37
125-3065,28.58
190-64,23.87
104-114,18.04
26-165,10.84
75-70,129.99
20-110,30.54
70-3114,57.53
34-135,7.34
68-145,34.6
86-135,73.68
70-47,6.04
190-152,23.95
76-177,8.95
176-191,1353.78
127-3065,26.69
100-136,3.13
69-108,21.28
18-88,59.86
158-18,0.81
176-165,163.28
24-107,49.91
115-139,16.46
11-108,29.52
114-16,26.16
60-76,23.54
37-106,3.96
149-29,2.02
60-88,42.47
100-146,27.69
127-190,154.57
156-21,58.98
171-18,65.06
40-41,42.99
40-139,6.31
193-21,16.1
108-25,1.26
193-108,17.56
11-136,12.83
107-193,2.2
156-125,29.3
29-3114,2.01
20-81,67.94
127-146,135.17
41-171,5.99
31-111,13.51
68-125,57.71
158-108,0.69
43-60,2.12
111-108,21.14
104-44,11.47
74-76,70.9
43-136,0.88
103-135,13.6
43-108,6.95
68-103,78.33
116-100,60.87
166-191,12.5
66-3071,45.54
17-177,2.9
116-3071,33.27
106-191,14.99
16-125,20.87
149-3081,1.42
11-166,25.84
29-193,17.6
125-110,4.07
21-171,5.25
149-165,3.48
81-41,92.47
